,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source,href formula,Case Number.2
3349,05-Dec-1971,1971,Unprovoked,AUSTRALIA,Queensland,Gladstone,0,M,20,FATAL,Y,0,0,"The Age, 12/9/1971",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.12.05-Carroll.pdf,1971.12.05
3350,Reported 25-Nov-1971,1971,Unprovoked,HONG KONG,Mirs Bay ,0,Freedom Swimming,M,20,"Left leg severely bitten, surgically amputated",N,Just before dawn,0,"The Advocate, 11/25/1971; Post Crescent, 11/28/1971",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.11.27-Tracy.pdf,1971.11.27
3351,27-Oct-1971,1971,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",0,0,20,PROVOKED INCIDENT,N,0,0,"J. Green, p.36",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.11.25.R-Chan.pdf,1971.11.25.R
3352,23-Oct-1971,1971,Unprovoked,USA,Florida,"Ft. Pierce, St Lucie County",Surfing,M,18,"Right shoulder, arm & hand bitten",N,Afternoon,5' to 6' shark,"News Tribune, 10/25/1971 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.10.23-Milford.pdf,1971.10.23
3353,14-Oct-1971,1971,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Swimming,M,25,Wrist & hand lacerated,N,Evening,1.5 m to 2 m shark,J. Bass,http://sharkattackfile.net/spreadsheets/pdf_directory/1971.10.14-Bayer.pdf,1971.10.14
3354,02-Oct-1971,1971,Unprovoked,USA,California,"Sea Ranch, Sonoma County",Scuba diving,M,30,Bitten on legs,N, 14h00,"White shark, 5 m to 6 m [16.5' to 20']  ","D. Miller & R. Collier; R. Collier, p. 48",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.10.02-Ward_Collier.pdf,1971.10.02
3355,25-Sep-1971,1971,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Surfing,0,17,Left foot injured,N,0,0,"F. Schwartz, p.23",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.09.25-Horner.pdf,1971.09.25
3356,07-Sep-1971,1971,Unprovoked,CROATIA,Istria County,Ika,Swimming,M,34,FATAL,Y,10h30,White shark,"R. Rocconi & C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.09.07-Klepa.pdf,1971.09.07
3357,05-Sep-1971,1971,Unprovoked,AUSTRALIA,South Australia,Adelaide,Fishing,M,51," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",Y,0,0,"J. West, Adelaide Advertiser, 9/7/1971, p.10; P. Kemp, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.09.05-Harris.pdf,1971.09.05
3358,21-Aug-1971,1971,Provoked,AUSTRALIA,New South Wales,"Manly Marineland, Sydney",Scuba diving & feeding fish,M,26,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,N,13h15,"Grey nurse shark, 11'","Sydney Morning Herald, 8/22/1971",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.08.21-Allman.pdf,1971.08.21
3359,26-Jul-1971,1971,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,M,8,Laceration to left ankle,N,Afternoon,0,"Miami News, 7/27/1971",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.07.26-Prather.pdf,1971.07.26
3360,19-Jul-1971,1971,Unprovoked,USA,California,"Point Purisima, Santa Barbara County",Hookah diving (submerged),M,0,"Major injuries to head, buttocks & back",N,0,"White shark, 5.5 m to 6 m [18' to 20'] ","D. Miller & R. Collier, R. Collier, pp.51-52; J. McCosker & R.N. Lea",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.07.19-Gray_Collier.pdf,1971.07.19
3361,30-Jun-1971,1971,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,M,21,Leg & surfboard bitten,N,15h35,"White shark, 3 m [10'], species identity confirmed by witnesses & tooth pattern in leg & board ","G. Scheltema, M. Levine, GSAF; J. Bass, ORI",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.06.30-Scheltema.pdf,1971.06.30
3362,01-Jun-1971,1971,Unprovoked,BRITISH ISLES,South Devon,Beesands,Scuba diving,M,32,"No injury, said to have been attacked by shark but drove it away with a lobster hook",N,0,3.6 m  porbeagle shark,J. Steel (1989),http://sharkattackfile.net/spreadsheets/pdf_directory/1971.06.01-Johnson.pdf,1971.06.01
3363,Reported 16-Apr-1971,1971,Unprovoked,KENYA,Coast Province,Watamu,Swimming,M,16,Right foot bitten,N,0,"2 m [6'9""] shark",M. v. Schoor,http://sharkattackfile.net/spreadsheets/pdf_directory/1971.04.16-Watamu.pdf,1971.04.16R
3364,11-Apr-1971,1971,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay,Swimming,M,>50,"FATAL, multiple bites ",Y,11h30,White shark according to tooth pattern and witnesses,"J. Wallace, ORI; M. Levine, GSAF; T. Wallett, pp.39-40",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.04.11-TheoKlein.pdf,1971.04.11
3365,6-Apr-1971,1971,Unprovoked,MEXICO,Guerrero,"Copacabana Beach, Acapulco",Surfing,M,19,"FATAL, left thigh bitten ",Y,11h00,0,"A.Resciniti, p.109",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.04.06-Rowe.pdf,1971.04.06
3366,5-Apr-1971,1971,Unprovoked,VENEZUELA,0,0,0,M,14,"FATAL, body not recovered",Y,0,0,H.D. Baldridge (1994) SAF Case #1646,http://sharkattackfile.net/spreadsheets/pdf_directory/1971.04.05.b-NV-A-Mayora.pdf,1971.04.05.b
3367,5-Apr-1971,1971,Unprovoked,VENEZUELA,0,0,0,M,66,"FATAL, body not recovered",Y,0,0,H.D. Baldridge (1994) SAF Case #1646,http://sharkattackfile.net/spreadsheets/pdf_directory/1971.04.05.a-NV-T-Mayora.pdf,1971.04.05.a
3368,Late Apr-1971,1971,Sea Disaster,MOZAMBIQUE,Between Beira & Maputo,0,Wreck of the 1689-ton Portuguese  coaster Angoche,0,0,"FATAL, it was  thought  the surviving crew  were taken by sharks",Y,0,0,"M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.04.00-Angoche.pdf,1971.04.00
3369,30-Mar-1971,1971,Unprovoked,NEW ZEALAND,South Island,Dunedin,Surfing,M,16,Lacerations to left leg ,N,10h20,"White shark, 4.6 m [15'] ","B. Watkins, R. D. Weeks, GSAF ",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.03.30-Watkins.pdf,1971.03.30
3370,02-Jan-1971,1971,Unprovoked,AUSTRALIA,Tasmania,0,Swimming,M,0,Torso lacerated,N,16h30,0,"C. Black, GSAF; H.D. Baldridge (1994) SAF Case #1650",http://sharkattackfile.net/spreadsheets/pdf_directory/1971.01.02-Painter.pdf,1971.01.02
3371,1971,1971,Unprovoked,AUSTRALIA,South Australia,Southport,Surfing,M,15,Severe lacerations to thigh,N,0,White shark,The Advertiser (undated),http://sharkattackfile.net/spreadsheets/pdf_directory/1971.00.00.c-Franklin.pdf,1971.00.00.c
3372,1971,1971,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",0,M,0,Survived,N,0,0,B. Coad,http://sharkattackfile.net/spreadsheets/pdf_directory/1971.00.00.b-Nagib.pdf,1971.00.00.b
3373,1971,1971,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",0,M,0,Survived,N,0,0,B. Coad,http://sharkattackfile.net/spreadsheets/pdf_directory/1971.00.00.a-Kalantar.pdf,1971.00.00.a
3374,17-Dec-1970,1970,Unprovoked,MOZAMBIQUE,Inhambe Province,"Inhasoka, Inhambe Bay",Fishing for prawns,M,18,"FATAL, arm severed  ",Y,15h00,0,"GSAF; H.D. Baldridge, p.22",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.12.17-Litura.pdf,1970.12.17
3375,13-Dec-1970,1970,Unprovoked,MOZAMBIQUE,Inhambe Province,"Inhambe Bay Estuary, 10 to 12 miles inland from the sea",Fishing for prawns,M,18 to 22,"FATAL, decapitated and arm severed",Y,0,0,"GSAF; H.D. Baldridge, p.22",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.12.13-BlackMale-Mozambique.pdf,1970.12.13
3376,07-Dec-1970,1970,Unprovoked,MICRONESIA,Namonuito Atoll,Pisarach (Pisaras),Fishing,M,0,Laceration to thigh,N,23h00,1.8 m shark,R.S. Jones,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.12.07-Kapriel.pdf,1970.12.07
3377,03-Dec-1970,1970,Sea Disaster,USA,Hawaii,Kauai,Shipwreck,M,41,Right thigh lacerated,N,0,0,"The Argus, 12/7/1970, p.2",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.12.03-Leopold.pdf,1970.12.03
3378,Nov-1970,1970,Unprovoked,0,0,0,0,M,0,Extensive injuries,N,0,0," H.D. Baldridge (1994), SAF Case #1645",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.11.00-NV-Plotsky.pdf,1970.11.00
3379,24-Oct-1970,1970,Unprovoked,USA,Hawaii,"Brennecke Beach, Po'ipu, Kaua'i",Body surfing,M,0,Shoulder & arm bitten,N,0,0,"J. Borg, p.74; L. Taylor (1993), pp.102-103",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.10.24-Mattan.pdf,1970.10.24
3380,Oct-1970,1970,Unprovoked,USA,Florida,"Matanzas Inlet, St Johns County",Surfing,M,0,Bitten on right leg above the ankle,N,0,0,"H. Wessel, Orlando Sentinel, 8/1/2001 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.10.00-Baker.pdf,1970.10.00
3381,28-Sep-1970,1970,Unprovoked,MICRONESIA,Eastern Caroline Islands,Truk Lagoon,Diving,M,43,Lacerations & punctures to right arm & shoulder ,N,10h00,1.8 to 2 m C. albimarginatus,R.S. Jones,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.09.28-Urumai.pdf,1970.09.28
3382,13-Sep-1970,1970,Provoked,PALAU,Western Caroline Islands (North Pacific Ocean),Outside barrier reef,Spearfishing,M,20,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",N,0,1 m shark,"K.R.H. Read; H.D. Baldridge, p.192",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.09.13-Samsel.pdf,1970.09.13
3383,05-Sep-1970,1970,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Floating on a raft,M,18,Laceration to left foot,N,11h30,0,"St. Petersburg Times, 9/7/1970, p.12B",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.09.05-Hodgson.pdf,1970.09.05
3384,02-Sep-1970,1970,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",0,M,20,PROVOKED INCIDENT,N,0,0,"J. Green, p.36",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.09.02-Cook.pdf,1970.09.02
3385,Sep-1970,1970,Unprovoked,USA,South Carolina,0,Swimming,M,0,Foot lacerated,N,0,"""Dog shark""","H.D. Baldridge (1994), SAF Case #1630",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.09.00.c-Kirakas.pdf,1970.09.00.c
3386,Sep-1970,1970,Unprovoked,USA,Florida,Pinellas County,Scuba diving,M,0,Calf / knee injured?,N,0,0,SAF Case #1485,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.09.00.a-NV-male.pdf,1970.09.00.a
3387,02-Aug-1970,1970,Invalid,0,Caribbean Sea,Between St. Kitts & Nevis,Sea Disaster Sinking of ferryboat Christina,0,0,"Sharks scavenged on bodies, but no record of them injuring survivors ",0,Afternoon,Shark involvement prior to death was not confirmed,"Rome News Tribune, 8/3/1970",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.08.02-Christina-ferryboat.pdf,1970.08.02
3388,5-Jul-1970,1970,Unprovoked,0,0,0,0,M,0,Finger or toe severed,N,Night,Mako shark,"H.D. Baldridge (1994), SAF Case #1628",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.07.05-NV-male.pdf,1970.07.05
3389,22-Jun-1970,1970,Provoked,USA,Florida,"Dania, Broward County",Fishing,M,13,Bitten on calf by hooked shark PROVOKED INCIDENT,N,0,7.5' shark,Bridgeport Post 6/22/1970,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.06.22-Faulkner.pdf,1970.06.22
3390,15-Jun-1970,1970,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Shark tank, Oceanographic Research Institute, Durban",Scuba Diving,M,25,2 cm laceration on knee PROVOKED INCIDENT,N,16h00,"Raggedtooth shark, 2 m [6'9""], 5-year-old, captive female ","D. Davies; A.J. Bass, ORI",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.06.15-Govindsamy.pdf,1970.06.15
3391,13-Jun-1970,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Wading,M,16,"FATAL, multiple injuries to both legs  ",Y,14h00,0,"E. Pace, FSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.06.13.b-LincolnJohn.pdf,1970.06.13.b
3392,13-Jun-1970,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Wading,M,18,"FATAL, body not recovered",Y,14h00,0,"E. Pace, FSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.06.13.a-AlpheusJohn.pdf,1970.06.13.a
3393,Jun-1970,1970,Sea Disaster,PHILIPPINES,200 nm southeast of Manila,0,Motor launch Baby Princesa capsized with 22 people on board,0,0,"2 people survived, 6 drowned & the others were killed by sharks",Y,0,0,"The Daily Intelligencer, 6/12/1970, p.2;  The Times (London), September 24, 1970",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.06.00-Philippines.pdf,1970.06.00
3394,4-Apr-1970,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Swimming,M,14,"FATAL, body not recovered",Y,16h00,0,"E. Pace, FSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.04.04-Daily.pdf,1970.04.04
3395,Apr-1970,1970,Provoked,0,0,0,Freediving,M,0,Arm abraded & lacerated. Recorded as PROVOKED INCIDENT,N,0,Wobbegong shark ,"H.D. Baldridge (1994), SAF Case #1616",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.04.00.b-NV-Jarvis.pdf,1970.04.00.b
3396,Apr-1970,1970,Unprovoked,SOLOMON ISLANDS,0,0,Swimming,M,0,No details,UNKNOWN,0,Wobbegong shark,H.D. Baldridge (1994) SAF Case #1655,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.04.00.a-NV-Vota.pdf,1970.04.00.a
3397,31-Mar-1970,1970,Invalid,USA,Hawaii,"Waimea Bay, O'ahu",Body surfing,M,0,"Swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered. ",0,0,Shark involvement prior to death was not confirmed,"J. Borg, p.74",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.03.31-Reathaford.pdf,1970.03.31
3398,23-Mar-1970,1970,Unprovoked,USA,Florida,Manatee County,Wading,M,19,Foot & calf lacerated,N,Late afternoon,0,H.D. Baldridge (1994) SAF Case #1620,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.03.23-Fetterman.pdf,1970.03.23
3399,5-Feb-1970,1970,Unprovoked,0,0,0,Wading,F,8,Lacerations to lower leg,N,0,Carpet shark,H.D. Baldridge (1994) SAF Case #1626,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.02.05-NV-Irvine.pdf,1970.02.05
3400,23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,3.2 km inland,Swimming,M,14,"Hands severed, forearm severely lacerated",N,0,0,"Natal Daily News, 2/4/1970; D. Davies",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.01.23.d-Soto.pdf,1970.01.23.d
3401,23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,16,Leg severed at knee,N,0,Zambesi shark,"Natal Daily News, 2/4/1970; D. Davies",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.01.23.c-Tivane.pdf,1970.01.23.c
3402,23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,12,"Arm severed, thigh bitten",N,0,Zambesi shark,"Natal Daily News, 2/4/1970; D. Davies",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.01.23.b-Mogadura.pdf,1970.01.23.b
3403,23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,10,Leg severed at knee,N,0,Zambesi shark,"Natal Daily News, 2/4/1970; D. Davies",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.01.23.a-Mobunda.pdf,1970.01.23.a
3404,    16-Jan-1970,1970,Sea Disaster,EGYPT,Red Sea,A few miles south of Port Suez,Air disaster,M,0,FATAL,Y,0,0,"The Progress, 1/17/1970",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.01.16-IsraeliPilot.pdf,1970.01.16
3405,10-Jan-1970,1970,Unprovoked,MEXICO,Guerrero,Acapulco,Swimming,M,22,Leg bitten,N,0,0,"A. Resciniti, p.110",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.01.10-Kardell.pdf,1970.01.10
3406,Reported 09-Jan-1970,1970,Unprovoked,ENGLAND,Devon,Teignmouth,Attempted to return injured shark to the sea,M,0,Leg bitten,N,0,8' blue shark,"Reading Eagle, 1/9/1970",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.01.09.R-England.pdf,1970.01.09.R
3407, Jan-1970,1970,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,0,Freediving,M,15,Lacerations to back,N,0,0,"Brainerd Daily Dispatch, 1/13/1970",http://sharkattackfile.net/spreadsheets/pdf_directory/1970.01.00-NV-Mosley.pdf,1970.01.00
3408,1970s,1970,Unprovoked,SRI LANKA,Western Province,Colombo Harbor,Spearfishing / freediving,M,0,Swim fins badly torn by the shark's teeth,N,0,0,R. I. DeSilva.GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.00.00.h-Wickremaratne.pdf,1970.00.00.h
3409,Late 1970s,1970,Unprovoked,SPAIN,Canary Islands,"Icod de los Vinos, Tenerife",Spearfishing,M,0,Minor injury,N,0,Blue shark,C. Moore. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.00.00.g-Tenerife.pdf,1970.00.00.g
3410,Ca. 1970,1970,Boat,ITALY,Sardinia,Golfo di Oristano,Fishing on a boat,M,0,No injury,N,0,White shark,A. De Maddalena; M. Cottiglia (pers. Comm.),http://sharkattackfile.net/spreadsheets/pdf_directory/1970.00.00.f-Sardinia.pdf,1970.00.00.f
3411,1970,1970,Unprovoked,CROATIA,Zadar County,Novigrad,Spearfishing,M,0,No details,UNKNOWN,0,White shark,A. De Maddalena; A. Mojetta (pers. Comm.),http://sharkattackfile.net/spreadsheets/pdf_directory/1970.00.00.e-Jurincic.pdf,1970.00.00.e
3412,1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Washing cooking pans,F,28,Left hand severed,N,Afternoon,0,B.W. Coad & L.A.J. Al-Hassan,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.00.00.d-Shatt-al-Arab.pdf,1970.00.00.d
3413,1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River near Abu al Khasib,Washing clothes on stairs,F,25,Left foot severed,N,0,0,B.W. Coad & L.A.J. Al-Hassan,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.00.00.c-Abu-a-Khasib.pdf,1970.00.00.c
3414,1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Swimming,M,35,"FATAL, left leg severed",Y,12h00,0,B.W. Coad & L.A.J. Al-Hassan,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.00.00.b-Shatt-al-Arab.pdf,1970.00.00.b
3415,1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,"Fishing, trying to catch the end of his fishing line",M,35,Left hand bitten,N,Afternoon,0,B.W. Coad & L.A.J. Al-Hassan,http://sharkattackfile.net/spreadsheets/pdf_directory/1970.00.00.a-Shatt-al-Arab.pdf,1970.00.00.a
3416,30-Nov-1969,1969,Unprovoked,AUSTRALIA,Western Australia,"Swan River, 13 miles upstream",Swimming,M,15,Left thigh lacerated,N,Afternoon,0,"Sydney Morning Herald, 12/1/1969 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.11.30-Cartwright.pdf,1969.11.30
3417,11-Nov-1969,1969,Unprovoked,USA,Hawaii,"Barber’s Point, O'ahu",Scuba diving for lobsters,M,0,"Abrasions on upper leg, laceration on ankle, scuba tank bitten",N,0,>2.4 m [8'] shark,"H.D. Baldridge, p.185; J. Borg, p.74;  L. Taylor (1993), pp.102-103",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.11.11-McGinnis.pdf,1969.11.11
3418,05-Nov-1969,1969,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",0,M,27,PROVOKED INCIDENT,N,0,0,"J. Green, p.36",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.11.05-Robson.pdf,1969.11.05
3419,14-Oct-1969,1969,Unprovoked,USA,Hawaii,Hawaii,Diving,M,0,No injury,N,Morning,Oceanic whitetip shark,H.D. Baldridge (1994) SAF Case #1579,http://sharkattackfile.net/spreadsheets/pdf_directory/1969.10.14-NV-Hegeman.pdf,1969.10.14
3420,06-Sep-1969,1969,Unprovoked,USA,California,"Bird Rock, Tomales Point, near Marin County / Sonoma County border",Free diving for abalone,M,53,Leg & ankle severely bitten,N,11h20,"White shark, 4.3 m 4.9 m [14' to 16'] ","D. Miller & R. Collier; R. Collier, pp.42-44; H.D. Baldridge, p.78;",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.09.06-DonaldJoslin_Collier.pdf,1969.09.06
3421,29-Aug-1969,1969,Unprovoked,USA,Florida,"North Beach, St. Lucie County",Floating on his back,M,0,Laceration to right leg,N,Afternoon,0,"News Tribune, 8/30/1969",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.08.29-Barnes.pdf,1969.08.29
3422,22-Aug-1969,1969,Provoked,USA,Massachusetts,40 miles south of Nantucket,Fishing,M,28,Leg bitten by netted shark PROVOKED INCIDENT,N,0,0,"Portsmouth Herald, 8/23/1969",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.08.22-Eleniefsky.pdf,1969.08.22
3423,02-Aug-1969,1969,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Lacerations to lower leg,N,Morning,0,"St. Petersburg Times, 8/3/1969; H.D. Baldridge (1994) SAF Case #1570",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.08.02-Wilson.pdf,1969.08.02
3424,02-Aug-1969,1969,Unprovoked,USA,Florida,"St. Petersburg, Pinnellas County",Body surfing,M,13,Lacerations to right lower leg & left arm and hand,N,16h30,4' shark,"NYTimes, 8/3/1969",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.08.01-Wamser.pdf,1969.08.01
3425,Aug-1969,1969,Unprovoked,0,0,0,0,M,25,Am lacerated,N,0,0,H.D. Baldridge (1994) SAF Case #1602,http://sharkattackfile.net/spreadsheets/pdf_directory/1969.08.00-NV-Hughes.pdf,1969.08.00
3426,27-Jul-1969,1969,Provoked,ENGLAND,0,0,0,M,0,Arm lacerated. Recorded as PROVOKED INCIDENT,N,0,0,H.D. Baldridge (1994) SAF Case #1611,http://sharkattackfile.net/spreadsheets/pdf_directory/1969.07.27-NV-Brown.pdf,1969.07.27
3427,22-Jul-1969,1969,Provoked,USA,Florida,Florida Keys,0,M,13,Scrape on head. Recorded as PROVOKED INCIDENT,N,16h00,Nurse shark,H.D. Baldridge (1994) SAF Case #1603,http://sharkattackfile.net/spreadsheets/pdf_directory/1969.07.22-NV-Griffin.pdf,1969.07.22
3428,20-Jul-1969,1969,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Freediving for abalone (at surface),M,0,"Foot bitten, minor injury",N,13h00,"White shark, 5 m [16.5'] ","D. Miller & R. Collier; R. Collier, p. 42",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.07.20-Colby_Collier.pdf,1969.07.20
3429,27-Jun-1969,1969,Unprovoked,USA,Florida,Florida Keys,Wading,M,22,No details,UNKNOWN,1600,0,H.D.Baldridge (1994) SAF Case #1652,http://sharkattackfile.net/spreadsheets/pdf_directory/1969.06.27-NV-Benham.pdf,1969.06.27
3430,12-Jun-1969,1969,Unprovoked,JAMAICA,Clarendon,Off Rocky Point,Diving,M,27,Multiple lacerations,N,Morning,0,"The Gleaner, 6/20/1969",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.06.12-Washington.pdf,1969.06.12
3431,Jun-1969,1969,Unprovoked,USA,Florida,Sarasota County,Wading,M,8,No injury,N,20h00,0,H.D.Baldridge (1994) SAF Case #1609,http://sharkattackfile.net/spreadsheets/pdf_directory/1969.06.00-NV-Holmes.pdf,1969.06.00
3432,25-May-1969,1969,Provoked,USA,Texas,Packery Channel,Surf-fishing,M,0,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,N,19h00,2' to 3' shark,"Corpus Christi Times, 5/26/1969; H.D.Baldridge (1994) SAF Case #1629",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.05.25-Barnett.pdf,1969.05.25
3433,24-May-1969,1969,Provoked,USA,Florida,Sarasota County,Diving,M,23,Laceration to buttocks Recorded as PROVOKED INCIDENT,N,11h00,Nurse shark,H.D.Baldridge (1994) SAF Case #1596,http://sharkattackfile.net/spreadsheets/pdf_directory/1969.05.24-NV-Martel.pdf,1969.05.24
3434,22-May-1969,1969,Unprovoked,DOMINICAN REPUBLIC,0,0,Surfing,M,18,0,UNKNOWN,16h00,0,H.D.Baldridge (1994) SAF Case #1607,http://sharkattackfile.net/spreadsheets/pdf_directory/1969.05.22-NV-Kuchn.pdf,1969.05.22
3435,14-May-1969,1969,Unprovoked,AUSTRALIA,Queensland,Broomfield Reef,0,0,0,Survived,N,0,0,"J. Green, p.36",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.05.14-Gillies.pdf,1969.05.14
3436,22-Apr-1969,1969,Invalid,AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads",Netting pilchards,M,0,No injury,0,0,"Considered a ""Doubtful"" incident","J. Green, p.36",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.04.22-Anderson.pdf,1969.04.22
3437,19-Aug-1969,1969,Provoked,USA,Florida,"Marathon, Monroe County",Fishing,M,adult,Laceration to foot from dead shark PROVOKED INCIDENT,N,0,"Lemon shark, 9' ","Tri-City Herald, 4/21/1969",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.04.19-Horner.pdf,1969.04.19
3438,25-Mar-1969,1969,Provoked,AUSTRALIA,New South Wales,Newcastle,0,M,65,Foot lacerated. Recorded as PROVOKED INCIDENT,N,0,Mako shark,H.D.Baldridge (1994) SAF Case #1612,http://sharkattackfile.net/spreadsheets/pdf_directory/1969.03.25-NV-WilliamHill.pdf,1969.03.25
3439,09-Mar-1969,1969,Unprovoked,USA,Hawaii,"Makaha, O'ahu",Surfing,M,16,Leg & surfboard bitten,N,17h30,"White shark, identified by tooth fragments in surfboard","J. Borg, p.73; L. Taylor (1993), pp.102-103",http://sharkattackfile.net/spreadsheets/pdf_directory/1969.03.09-Lee.pdf,1969.03.09
